 0.26400E+11 0.12720E+11 0.61100E+10 0.00000E+00 0.00000E+00 0.00000E+00

 0.12720E+11 0.26400E+11 0.61100E+10 0.00000E+00 0.00000E+00 0.00000E+00

 0.61100E+10 0.61100E+10 0.15600E+11 0.00000E+00 0.00000E+00 0.00000E+00

 0.00000E+00 0.00000E+00 0.00000E+00 0.43800E+10 0.00000E+00 0.00000E+00

 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.43800E+10 0.00000E+00

 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.68400E+10

 ---Alpha---------Beta-----------Ebsl-------------Gama---------Sigma-----
   2549.510       1350.926      0.3461539      0.2808219     -4.5272525E-02
